hop_avg,hop_host,hop_stdev,trace_time,hop_wrst,hop_loss,hop_best
21.7,angus.amuri.net,6.3,2016-02-10 00:02:38+13,35.7,5.0,12.1
27.1,angus.amuri.net,10.7,2016-02-10 00:08:55+13,49.9,0.0,13.6
21.2,angus.amuri.net,10.7,2016-02-10 00:15:12+13,52.9,0.0,10.7
33.0,angus.amuri.net,20.7,2016-02-10 00:21:30+13,79.8,0.0,11.6
20.7,angus.amuri.net,4.5,2016-02-10 00:27:47+13,29.7,5.0,11.4
19.5,angus.amuri.net,3.9,2016-02-10 00:34:04+13,27.2,0.0,12.7
16.5,angus.amuri.net,6.1,2016-02-10 00:40:22+13,38.7,5.0,9.8
20.3,angus.amuri.net,11.7,2016-02-10 00:46:39+13,56.5,5.0,12.2
20.4,angus.amuri.net,6.5,2016-02-10 00:52:56+13,33.0,5.0,12.2
19.8,angus.amuri.net,7.7,2016-02-10 00:59:13+13,43.2,0.0,12.2
23.2,angus.amuri.net,8.9,2016-02-10 01:05:31+13,48.4,0.0,14.3
20.4,angus.amuri.net,10.1,2016-02-10 01:11:49+13,49.1,0.0,11.7
24.1,angus.amuri.net,11.9,2016-02-10 01:18:07+13,54.7,0.0,11.0
22.8,angus.amuri.net,12.7,2016-02-10 01:24:23+13,53.7,5.0,11.0
23.5,angus.amuri.net,10.4,2016-02-10 01:30:41+13,44.6,0.0,11.7
24.5,angus.amuri.net,8.6,2016-02-10 01:36:58+13,48.4,0.0,13.4
28.0,angus.amuri.net,16.1,2016-02-10 01:43:16+13,65.1,0.0,10.8
23.0,angus.amuri.net,13.2,2016-02-10 01:49:35+13,60.7,0.0,11.1
18.0,angus.amuri.net,7.9,2016-02-10 01:55:52+13,45.7,0.0,11.9
17.4,angus.amuri.net,4.7,2016-02-10 02:02:09+13,25.5,0.0,10.7
21.6,angus.amuri.net,7.6,2016-02-10 02:08:27+13,37.8,0.0,11.5
17.9,angus.amuri.net,8.7,2016-02-10 02:14:44+13,51.4,0.0,10.3
19.8,angus.amuri.net,8.3,2016-02-10 02:21:02+13,40.7,0.0,12.2
19.9,angus.amuri.net,7.5,2016-02-10 02:27:19+13,44.5,0.0,12.6
30.7,angus.amuri.net,17.6,2016-02-10 02:33:37+13,69.1,10.0,12.5
20.0,angus.amuri.net,6.3,2016-02-10 02:39:54+13,34.3,0.0,12.7
37.6,angus.amuri.net,23.8,2016-02-10 02:46:12+13,120.7,0.0,15.8
40.4,angus.amuri.net,18.3,2016-02-10 02:52:29+13,89.0,0.0,18.7
